,City,Max Temp,Lon,Lat,cloudiness,Wind Speed ,Humidity,Country,Date
380,kondopoga,6.0,34.27,62.21,92,2.0,93,RU,1541170800
381,zhigansk,-17.93,123.37,66.77,32,3.4,65,RU,1541175647
382,chilmari,22.97,89.66,25.59,20,0.6,85,BD,1541175648
383,pozoblanco,17.0,-4.85,38.38,40,1.5,72,ES,1541174400
384,erzin,22.0,36.2,36.95,0,3.1,52,TR,1541173800
385,medicine hat,4.0,-110.68,50.04,90,2.1,100,CA,1541174400
386,araouane,32.42,-3.53,18.9,0,3.8,26,ML,1541175652
387,tazovskiy,-10.86,78.7,67.47,64,9.25,85,RU,1541175652
388,serpa,18.0,-7.6,37.94,75,4.6,82,PT,1541174400
389,warmbad,11.0,13.08,50.67,0,1.0,81,DE,1541174400
390,hohhot,5.0,111.65,40.81,0,1.0,56,CN,1541170800
391,pochutla,30.0,-96.47,15.74,75,3.15,70,MX,1541173620
392,alyangula,28.17,136.42,-13.85,0,3.45,100,AU,1541175658
393,labuhan,24.4,115.51,-2.54,24,0.9,90,ID,1541175659
394,muravlenko,-7.36,74.5,63.79,64,9.95,78,RU,1541175660
395,svetlogorsk,2.0,59.15,53.14,75,5.0,74,RU,1541172600
396,antalaha,25.45,50.28,-14.9,0,4.9,76,MG,1541175661
397,colac,12.57,143.59,-38.34,20,5.1,65,AU,1541175662
398,alice springs,24.0,133.88,-23.7,0,1.6,69,AU,1541174400
399,sur,25.82,59.53,22.57,0,5.7,99,OM,1541175665
400,carutapera,32.55,-46.02,-1.2,0,4.8,59,BR,1541175667
401,karasburg,30.32,18.75,-28.01,0,3.15,7,NA,1541175668
402,ponta do sol,27.65,-46.0,-20.63,20,2.15,83,BR,1541175669
403,baryshivka,10.0,31.33,50.36,90,4.0,81,UA,1541174400
404,beira,15.0,-8.36,43.2,90,1.5,93,ES,1541174400
405,margarita,18.0,7.68,44.4,40,0.5,81,IT,1541174100
406,richards bay,16.4,32.06,-28.77,92,3.75,100,ZA,1541175677
407,bathurst,18.55,149.58,-33.42,12,3.0,84,AU,1541175678
408,borova,10.0,30.1,50.18,90,4.0,81,UA,1541174400
409,kavieng,27.7,150.8,-2.57,32,3.05,100,PG,1541175680
410,longyearbyen,-4.0,15.63,78.22,75,9.8,73,NO,1541173800
411,bytow,9.0,17.49,54.17,0,1.5,87,PL,1541174400
412,ileza,2.8,43.9,61.05,88,2.9,96,RU,1541175683
413,nargana,26.1,-78.59,9.44,56,3.6,100,PA,1541175683
414,seoul,8.0,126.98,37.57,0,0.5,86,KR,1541174400
415,celestun,26.15,-90.4,20.87,92,1.25,100,MX,1541175685
416,northam,10.0,-4.21,51.04,20,3.6,66,GB,1541173800
417,caravelas,26.07,-39.27,-17.73,20,5.75,98,BR,1541175688
418,kungurtug,-23.16,97.53,50.6,0,0.85,55,RU,1541175689
419,bud,7.0,6.91,62.91,75,3.6,93,NO,1541173800
420,matay,26.67,30.79,28.42,0,3.45,26,EG,1541175691
421,vestmannaeyjar,4.0,-20.27,63.44,75,9.3,93,IS,1541170800
422,hobyo,26.65,48.53,5.35,0,4.6,77,SO,1541175692
423,fort nelson,-6.0,-122.69,58.81,90,3.1,85,CA,1541174400
424,pardina,15.0,28.96,45.31,75,5.1,77,RO,1541174400
425,khatra,22.45,86.85,22.98,8,1.95,90,IN,1541175694
426,sabha,28.17,14.43,27.03,88,2.05,20,LY,1541175695
427,sooke,14.0,-123.73,48.37,75,6.2,82,CA,1541174400
428,peniche,18.0,-9.38,39.36,90,5.1,87,PT,1541174400
429,craig,8.3,-107.55,40.52,90,5.7,58,US,1541174160
430,ixtapa,25.0,-105.21,20.71,90,1.3,100,MX,1541173500
431,muros,15.0,-9.06,42.77,20,1.0,87,ES,1541174400
432,puerto colombia,27.0,-74.96,10.99,75,5.1,78,CO,1541170800
433,grand gaube,22.0,57.66,-20.01,20,3.1,88,MU,1541170800
434,olbia,16.0,9.49,40.92,20,0.5,93,IT,1541173800
435,aquiraz,31.0,-38.39,-3.9,40,7.2,62,BR,1541174400
436,ilebo,25.97,20.59,-4.33,68,2.15,83,CD,1541175704
437,berlevag,5.0,29.09,70.86,0,14.9,60,NO,1541173800
438,msanga,30.0,36.03,-6.04,20,7.2,35,TZ,1541170800
439,flin flon,-2.0,-101.88,54.77,90,2.6,63,CA,1541174400
440,masterton,10.0,175.66,-40.95,92,7.0,80,NZ,1541175548
441,ust-kulom,3.07,53.69,61.69,92,2.4,96,RU,1541175707
442,atambua,25.2,124.89,-9.11,0,1.1,100,ID,1541175709
443,tezu,15.2,96.16,27.93,0,0.25,76,IN,1541175710
444,joshimath,-9.78,79.57,30.57,0,0.45,73,IN,1541175711
445,rutana,23.75,29.99,-3.93,56,1.75,71,BI,1541175711
446,yamada,4.15,137.08,36.58,0,1.0,100,JP,1541175711
447,lufilufi,24.0,-171.6,-13.87,40,2.1,94,WS,1541174400
448,dudinka,-14.71,86.18,69.41,44,4.85,75,RU,1541175713
449,nelson,11.0,-117.29,49.49,75,5.1,81,CA,1541174400
450,khash,10.1,61.21,28.22,12,4.55,25,IR,1541175714
451,luang prabang,14.72,102.14,19.89,0,0.75,84,LA,1541175715
452,westport,6.0,-9.52,53.8,75,7.7,100,IE,1541174400
453,fuquay-varina,22.2,-78.8,35.58,1,2.6,86,US,1541173980
454,erdenet,-10.66,104.04,49.03,36,1.8,74,MN,1541175718
455,methven,10.9,171.65,-43.63,92,4.2,64,NZ,1541175718
456,ishigaki,23.7,124.16,24.34,92,11.4,100,JP,1541175721
457,ketchikan,10.0,-131.65,55.34,90,8.7,92,US,1541174160
458,fairbanks,-15.0,-147.72,64.84,1,3.45,84,US,1541174280
459,aswan,30.0,32.9,24.09,20,4.1,37,EG,1541174400
460,tiarei,24.0,-149.33,-17.53,20,2.1,78,PF,1541174400
461,pecos,14.4,-103.49,31.42,1,2.65,67,US,1541174100
462,crotone,19.0,17.12,39.09,20,2.1,93,IT,1541173800
463,mana,17.0,20.24,43.52,0,2.6,82,RS,1541174400
464,nyurba,-8.53,118.35,63.29,80,3.75,75,RU,1541175729
465,karratha,24.5,116.85,-20.74,0,4.05,43,AU,1541175729
466,vols,9.0,24.4,60.17,90,6.7,100,FI,1541173800
467,port macquarie,24.0,152.91,-31.43,24,3.6,47,AU,1541174400
468,boyuibe,22.0,-63.28,-20.43,90,2.1,78,BO,1541170800
469,meulaboh,26.67,96.13,4.14,100,3.4,100,ID,1541175732
470,petropolis,27.0,-43.18,-22.5,75,4.6,74,BR,1541170800
471,sinegorye,-15.18,150.53,62.09,36,0.95,85,RU,1541175733
472,margate,8.0,147.26,-43.03,40,12.3,61,AU,1541174400
473,moose factory,1.0,-80.61,51.26,90,1.5,86,CA,1541175300
474,portland,14.4,-122.67,45.52,90,6.7,90,US,1541174400
475,kavaratti,30.3,72.64,10.57,32,2.1,96,IN,1541175736
476,lazaro cardenas,13.0,-105.62,28.39,5,2.6,37,MX,1541173200
477,presidencia roque saenz pena,28.17,-60.44,-26.79,0,5.75,77,AR,1541175739
478,ryde,10.0,-1.16,50.73,0,1.0,53,GB,1541173800
479,baturaja,22.55,104.17,-4.12,92,1.8,97,ID,1541175740
480,rakaia,11.0,172.02,-43.76,88,3.6,81,NZ,1541174400
481,privodino,2.5,46.5,61.08,88,2.85,97,RU,1541175742
482,kahului,24.4,-156.47,20.89,20,5.7,84,US,1541174400
483,shunyi,5.0,116.65,40.13,0,1.0,93,CN,1541172600
484,dok kham tai,17.5,99.99,19.16,0,1.35,81,TH,1541175744
485,anadyr,-6.0,177.51,64.73,90,6.0,85,RU,1541170800
486,el rosario,27.0,-105.86,22.99,40,2.1,74,MX,1541173440
487,christchurch,11.0,172.64,-43.53,92,3.6,81,NZ,1541174400
488,rawson,15.25,-65.11,-43.3,92,4.45,60,AR,1541175750
489,pilar,20.0,-58.91,-34.46,0,4.1,68,AR,1541170800
490,manitouwadge,1.0,-85.84,49.12,90,2.1,74,CA,1541174400
491,buta,28.07,24.73,2.79,68,1.0,76,CD,1541175753
492,ilo,17.85,-71.34,-17.65,76,1.65,90,PE,1541175755
493,oulainen,3.5,24.8,64.27,92,3.8,98,FI,1541175756
494,balsas,32.72,-46.04,-7.53,24,2.55,71,BR,1541175758
495,alta gracia,27.0,-64.43,-31.66,20,11.3,54,AR,1541170800
496,hamilton,6.0,-79.87,43.26,90,5.1,100,CA,1541175000
497,khandyga,-9.33,135.58,62.65,76,4.0,90,RU,1541175760
498,ayagoz,-20.91,80.43,47.96,0,1.2,53,KZ,1541175760
499,oussouye,36.0,-16.54,12.49,0,3.1,50,SN,1541174400
500,benito juarez,14.32,-111.57,28.64,0,1.4,44,MX,1541175761
501,znamenskoye,0.15,73.82,57.13,92,6.45,95,RU,1541175763
502,meadow lake,-1.0,-108.44,54.13,90,4.1,86,CA,1541174400
503,toledo,28.0,123.64,10.38,20,2.6,83,PH,1541174400
504,sinnamary,28.05,-52.96,5.38,56,2.2,93,GF,1541175765
505,ouadda,29.1,22.4,8.07,64,0.95,74,CF,1541175766
506,gujranwala,18.0,74.19,32.15,40,3.1,68,PK,1541174400
507,tilichiki,-15.56,166.1,60.47,88,1.4,79,RU,1541175767
508,zhezkazgan,-5.0,67.71,47.8,90,3.0,67,KZ,1541170800
509,kandhla,18.85,77.27,29.32,0,2.7,81,IN,1541175768
510,zhangye,-0.43,100.46,38.94,8,4.0,65,CN,1541175769
511,la asuncion,14.4,-78.74,-1.64,20,0.85,70,EC,1541175770
512,calama,23.0,-68.93,-22.46,0,3.1,11,CL,1541170800
513,alihe,2.07,123.73,50.57,92,2.95,73,CN,1541175770
514,acapulco,29.0,-99.88,16.86,20,1.0,74,MX,1541173800
515,camacha,20.0,-16.33,33.08,40,4.1,72,PT,1541174400
516,george town,27.0,100.33,5.42,75,1.8,88,MY,1541174400
517,macklin,-1.33,-109.94,52.34,92,7.65,89,CA,1541175774
518,betsiamites,4.0,-68.65,48.94,90,2.1,80,CA,1541174400
519,san jose de guanipa,30.97,-64.17,8.89,64,6.7,54,VE,1541175776
520,vanimo,26.6,141.3,-2.67,76,3.45,100,PG,1541175777
521,tigil,-11.41,158.67,57.8,24,1.05,69,RU,1541175778
522,faya,20.0,42.45,18.39,40,3.1,55,SA,1541170800
523,vaitape,24.95,-151.75,-16.52,92,8.5,100,PF,1541175780
524,ewa beach,24.4,-158.01,21.32,75,1.5,90,US,1541174220
525,adrar,27.0,-0.29,27.87,0,6.2,24,DZ,1541174400
526,buzdyak,1.6,54.53,54.57,92,5.35,93,RU,1541175782
527,sri aman,25.0,111.46,1.24,56,0.75,100,MY,1541174400
528,ust-tarka,-1.18,75.71,55.56,88,7.6,93,RU,1541175783
529,nurota,1.0,65.69,40.56,8,4.1,37,UZ,1541172600
530,yerky,7.47,33.53,49.93,48,3.35,75,UA,1541175784
531,atar,31.0,-13.05,20.52,0,4.1,19,MR,1541170800
532,sambava,25.42,50.17,-14.27,8,7.6,100,MG,1541175786
533,glenwood springs,5.0,-107.33,39.55,90,6.7,86,US,1541174160
534,nhulunbuy,25.0,136.78,-12.18,0,5.25,83,AU,1541174400
535,zhuhai,5.0,112.04,40.71,0,1.0,56,CN,1541170800
536,dublin,9.0,-6.26,53.35,75,4.1,66,IE,1541174400
537,satka,0.47,59.03,55.04,92,4.9,93,RU,1541175791
538,krutinka,0.95,71.51,56.01,88,7.15,94,RU,1541175791
539,nishihara,17.0,139.53,35.74,1,1.0,77,JP,1541174160
540,mogadishu,27.1,45.34,2.04,0,5.7,98,SO,1541175792
541,iskateley,-0.58,53.15,67.68,88,3.6,93,RU,1541175793
542,barinas,30.0,-70.23,8.64,75,2.85,66,VE,1541170800
543,gat,37.0,-16.54,14.69,0,4.1,32,SN,1541174400
544,visnes,9.0,5.22,59.36,40,5.7,70,NO,1541173800
545,eslamshahr,13.0,51.23,35.55,40,2.1,35,IR,1541172600
546,mehamn,5.0,27.85,71.03,0,13.4,64,NO,1541173800
547,sirjan,9.75,55.67,29.44,0,6.75,36,IR,1541175796
548,ossora,-4.91,163.07,59.24,48,7.9,100,RU,1541175797
549,nadym,-8.31,72.51,65.53,68,9.25,80,RU,1541175797
550,kattivakkam,28.0,80.32,13.22,40,2.1,88,IN,1541174400
551,sterlibashevo,0.57,55.26,53.44,80,5.4,74,RU,1541175798
